"Cartasynarracion_Desde-mi-celda" "Narracion-breve_El-beso" "Narracion-breve_El-Cristo-de-la-calavera" "Narracion-breve_El-maestro-Herold" "Narracion-breve_El-Miserere" "Narracion-breve_El-monte-de-las-animas" "Narracion-breve_El-rayo-de-luna" "Narracion-breve_Es-raro" "Narracion-breve_La-cruz-del-diablo" "Narracion-breve_La-cueva-de-la-mora" "Narracion-breve_La-promesa" "Narracion-breve_La-rosa-de-pasion" "Narracion-breve_La-venta-de-los-gatos" "Narracion-breve_Los-ojos-verdes" "Narracion-breve_Maese-Perez" "Narracion-breve_Mujer-de-piedra" "Narracion-breve_Tres_fechas" "Poema-en-prosa_fragmentos" "Poema-en-prosa_Las-hojas-secas" "Poesia_Rimas1" "Poesia_Rimas2" "Prosa-poetica_Creed-en-Dios" "Prosa-poetica_El-caudillo-de-las-manos-rojas" "Prosa-poetica_La-Creacion"
"de" 6.64206642066421 6.74418604651163 6.64434715426217 7.45906610066707 6.01142170123234 6.2683284457478 6.23237450648618 5 6.21753246753247 6.37982195845697 6.99648711943794 6.49477806788512 5.64848484848485 5.45794392523364 5.28947874591268 7.8826764436297 7.05246913580247 6.03448275862069 6.34184068058778 3.49070818684078 4.28154395069737 6.02973568281938 6.83982683982684 5.85365853658537
"y" 3.93883484289388 2.89640591966173 3.65696626319856 2.3650697392359 3.54673880372708 3.70234604105572 2.90468133107727 3.0952380952381 3.05194805194805 3.16518298714144 3.68852459016393 3.49216710182768 4.07272727272727 2.95327102803738 2.92363916137719 3.23861900397189 4.29012345679012 3.51458885941645 5.49110595514308 3.64138623807132 3.69769704832955 3.77202643171806 3.21308321308321 5.27716186252772
"la" 3.36576093033658 3.72093023255814 3.24491372650013 3.9417828987265 2.91553952509769 3.99560117302053 3.52509870276368 3.03571428571429 3.6525974025974 4.50049455984174 3.19086651053864 3.16579634464752 3.17575757575758 3.02803738317757 3.78919022889017 3.94133822181485 3.2716049382716 3.44827586206897 3.17092034029389 3.31491712707182 3.63282517028868 2.6431718061674 3.90572390572391 3.28159645232816
"que" 3.63692273286369 4.0169133192389 3.06464074169457 2.72892662219527 3.63691012924557 2.60263929618768 3.49689791314157 3.21428571428571 2.92207792207792 3.46191889218595 2.3711943793911 3.19843342036554 4.14545454545455 3.25233644859813 3.84689363339104 3.72746715551482 3.08641975308642 4.24403183023873 3.24825986078886 4.24409844299347 3.2760298410639 3.08370044052863 3.05916305916306 2.03991130820399
"el" 2.33981885273398 2.72727272727273 2.62683492145249 2.72892662219527 3.00571085061617 2.34604105571848 2.28426395939086 1.96428571428571 2.53246753246753 2.86844708209693 3.19086651053864 2.15404699738903 2.73939393939394 2.65420560747664 3.05828043854587 2.74977085242896 1.94444444444444 3.97877984084881 2.78422273781903 3.41536916122551 3.76256892637042 2.97356828193833 3.58826358826359 2.92682926829268
"en" 2.55227552275523 2.5369978858351 3.21916044295648 3.09278350515464 2.4346257889991 2.38269794721408 3.35589396503102 1.75595238095238 2.71103896103896 2.52225519287834 2.66393442622951 2.25195822454308 2.18181818181818 2.95327102803738 2.67359107520677 2.2303696914146 2.71604938271605 2.71883289124668 2.32018561484919 3.69161225514817 2.82192669477781 2.53303964757709 2.30880230880231 2.92682926829268
"a" 2.54388907525439 2.83298097251586 2.47231522019057 2.48635536688902 1.98376916140667 2.56598240469208 2.03045685279188 2.70833333333333 3.00324675324675 2.62116716122651 2.69320843091335 2.21932114882507 2.23030303030303 1.98130841121495 2.48124639353722 1.74152153987168 2.0679012345679 1.657824933687 1.85614849187935 1.60723254645907 1.97859228024651 2.53303964757709 2.19336219336219 1.81818181818182
"los" 1.76954042267695 2.00845665961945 2.57532835436518 0.727713765918739 2.37451157198677 2.49266862170088 1.63564579808235 1.30952380952381 1.88311688311688 1.92878338278932 2.13700234192037 2.088772845953 1.21212121212121 1.90654205607477 1.55799192152337 1.80262755881454 1.57407407407407 1.72413793103448 1.62412993039443 1.00452034153692 1.23256568277652 1.98237885462555 2.22222222222222 2.70509977827051
"las" 1.70244884267024 1.16279069767442 1.08163790883338 1.15221346270467 1.4126840997896 1.90615835777126 1.72024816694867 0.505952380952381 1.36363636363636 1.23639960435213 1.28805620608899 1.10966057441253 1.28484848484848 1.53271028037383 1.26947489901904 1.92483959670027 1.45061728395062 2.05570291777188 2.08816705336427 1.35610246107484 1.32987349983782 1.54185022026432 2.11640211640212 1.59645232815965
"un" 1.34183160013418 1.47991543340381 1.54519701261911 1.39478471801092 1.65314096783889 1.39296187683284 1.83305132543711 1.66666666666667 1.02272727272727 1.18694362017804 1.11241217798595 1.40339425587467 1.74545454545455 1.57009345794393 1.01942681284862 1.37488542621448 1.95987654320988 1.3262599469496 1.16009280742459 1.38121546961326 1.71910476808304 2.00991189427313 1.32756132756133 1.19733924611973
